"temp","mltss","sludge_prod"
15.4,3500,2448.92264495258
15.4,3525,2444.11413406975
15.4,3550,2439.34318646365
15.4,3575,2434.60889874604
15.4,3600,2429.91292099202
15.4,3625,2425.2539840908
15.4,3650,2420.63029768482
15.4,3675,2416.0442029609
15.4,3700,2411.49306554199
15.4,3725,2406.97698794154
15.4,3750,2402.49954073659
15.4,3775,2398.05539390443
15.4,3800,2393.64620290382
15.4,3825,2389.27154448103
15.4,3850,2384.93137844594
15.4,3875,2380.625130279
15.4,3900,2376.34979049638
15.4,3925,2372.11085177368
15.4,3950,2367.90773672195
15.4,3975,2363.73487113863
15.4,4000,2359.59455604049
15.5,2500,2665.2690236487
15.5,2525,2659.09086544703
15.5,2550,2652.90982870319
15.5,2575,2646.73319615217
15.5,2600,2640.56695842433
15.5,2625,2634.41631012752
15.5,2650,2628.285326757
15.5,2675,2622.17764660988
15.5,2700,2616.09623817994
15.5,2725,2610.04364953363
15.5,2750,2604.02202620247
15.5,2775,2598.03318382293
15.5,2800,2592.07865973833
15.5,2825,2586.15975285647
15.5,2850,2580.27755940183
15.5,2875,2574.43299620337
15.5,2900,2568.62683438371
15.5,2925,2562.85971049282
15.5,2950,2557.13214922649
15.5,2975,2551.44459502222
15.5,3000,2545.79732524625
15.5,3025,2540.1906650054
15.5,3050,2534.62479103303
15.5,3075,2529.0998333034
15.5,3100,2523.61588553272
15.5,3125,2518.17298573823
15.5,3150,2512.77113352784
15.5,3175,2507.41029184239
15.5,3200,2502.09039543602
15.5,3225,2496.8113472171
15.5,3250,2491.57302709571
15.5,3275,2486.37529174024
15.5,3300,2481.2179780882
15.5,3325,2476.10089975761
15.5,3350,2471.02388192443
15.5,3375,2465.98669333406
15.5,3400,2460.98912102714
15.5,3425,2456.03093016627
15.5,3450,2451.11187909206
15.5,3475,2446.23171569029
15.5,3500,2441.39018369793
15.5,3525,2436.58701596658
15.5,3550,2431.82194221612
15.5,3575,2427.09482864534
15.5,3600,2422.40496129698
15.5,3625,2417.75250289971
15.5,3650,2413.13700778489
15.5,3675,2408.55818093731
15.5,3700,2404.01567696831
15.5,3725,2399.50941851206
15.5,3750,2395.03983747348
15.5,3775,2390.60659659767
15.5,3800,2386.20426849047
15.5,3825,2381.83899988768
15.5,3850,2377.50813669034
15.5,3875,2373.20947005337
15.5,3900,2368.95050439825
15.5,3925,2364.72216814842
15.5,3950,2360.52724340958
15.5,3975,2356.36543156558
15.5,4000,2352.23648799857
15.6,2500,2658.31910750431
15.6,2525,2652.0744613575
15.6,2550,2645.83433406775
15.6,2575,2639.60495780031
15.6,2600,2633.39153028568
15.6,2625,2627.19839602334
15.6,2650,2621.02920810122
15.6,2675,2614.88702506226
15.6,2700,2608.77447408116
15.6,2725,2602.6937114888
15.6,2750,2596.64659666178
15.6,2775,2590.6346922837
15.6,2800,2584.6593104915
15.6,2825,2578.72157365519
15.6,2850,2572.82238640632
15.6,2875,2566.96255682119
15.6,2900,2561.14269133678
15.6,2925,2555.36330359226
15.6,2950,2549.62489044149
15.6,2975,2543.92770674009
15.6,3000,2538.27203628889
15.6,3025,2532.65806816055
15.6,3050,2527.08593157552
15.6,3075,2521.55570484372
15.6,3100,2516.06740510219
15.6,3125,2510.62105847994
15.6,3150,2505.21658274454
15.6,3175,2499.8539156739
15.6,3200,2494.53294349922
15.6,3225,2489.25353760421
15.6,3250,2484.01551724733
15.6,3275,2478.81878874589
15.6,3300,2473.66307831444
15.6,3325,2468.54820553667
15.6,3350,2463.4739589517
15.6,3375,2458.44008196585
15.6,3400,2453.44634190518
15.6,3425,2448.49250131743
15.6,3450,2443.57827528898
15.6,3475,2438.70339916209
15.6,3500,2433.86758936166
15.6,3525,2429.0705939457
15.6,3550,2424.31209266013
15.6,3575,2419.59180377075
15.6,3600,2414.90942405303
15.6,3625,2410.26469661007
15.6,3650,2405.65725150856
15.6,3675,2401.08683478834
15.6,3700,2396.55313562584
15.6,3725,2392.05583063406
15.6,3750,2387.59463461136
15.6,3775,2383.16738687397
15.6,3800,2378.77928388028
15.6,3825,2374.42449257649
15.6,3850,2370.10463176861
15.6,3875,2365.81929568891
15.6,3900,2361.56821029158
15.6,3925,2357.35106666143
15.6,3950,2353.16766766076
15.6,3975,2349.01738589308
15.6,4000,2344.90514270678
15.7,2500,2651.30329327004
15.7,2525,2644.9989102475
15.7,2550,2638.7055717531
15.7,2575,2632.42861315429
15.7,2600,2626.17248502565
15.7,2625,2619.94089265354
15.7,2650,2613.73706335885
15.7,2675,2607.56366817492
15.7,2700,2601.42291029592
15.7,2725,2595.31663937425
15.7,2750,2589.24648375379
15.7,2775,2583.2137953937
15.7,2800,2577.21965245097
15.7,2825,2571.26503024813
15.7,2850,2565.35069223981
15.7,2875,2559.47729259056
15.7,2900,2553.64534482734
15.7,2925,2547.85526860268
15.7,2950,2542.10739642039
15.7,2975,2536.40198127914
15.7,3000,2530.73920269798
15.7,3025,2525.11923132613
15.7,3050,2519.54199231806
15.7,3075,2514.00764690205
15.7,3100,2508.51613387034
15.7,3125,2503.06739145241
15.7,3150,2497.66132826152
15.7,3175,2492.297831337
15.7,3200,2486.97675553045
15.7,3225,2481.69793082939
15.7,3250,2476.46118232955
15.7,3275,2471.26629507581
15.7,3300,2466.11305010361
15.7,3325,2461.00122328067
15.7,3350,2455.9306612346
15.7,3375,2450.90080628805
15.7,3400,2445.91165857625
15.7,3425,2440.96291883216
15.7,3450,2436.05428872411
15.7,3475,2431.18544234431
15.7,3500,2426.35608945308
15.7,3525,2421.56593261078
15.7,3550,2416.81469609916
15.7,3575,2412.102617678
15.7,3600,2407.42769370339
15.7,3625,2402.7912847778
15.7,3650,2398.19255449313
15.7,3675,2393.63119413016
15.7,3700,2389.10680041262
15.7,3725,2384.61915173018
15.7,3750,2380.16786078878
15.7,3775,2375.75268955486
15.7,3800,2371.37324988004
15.7,3825,2367.0292448647
15.7,3850,2362.72035946454
15.7,3875,2358.44626869169
15.7,3900,2354.20666100829
15.7,3925,2350.00116207617
15.7,3950,2345.82918183503
15.7,3975,2341.69160607683
15.7,4000,2337.58678905749
15.8,2500,2644.22828979409
15.8,2525,2637.8701616057
15.8,2550,2631.52875641129
15.8,2575,2625.20872917847
15.8,2600,2618.91390274601
15.8,2625,2612.64757834548
15.8,2650,2606.41241370349
15.8,2675,2600.21070686486
15.8,2700,2594.04441906409
15.8,2725,2587.91513552203
15.8,2750,2581.82423049381
15.8,2775,2575.77284137655
15.8,2800,2569.76189219169
15.8,2825,2563.79224630456
15.8,2850,2557.86447977933
15.8,2875,2551.9791548884
15.8,2900,2546.13662950198
15.8,2925,2540.33733971387
15.8,2950,2534.5814211231
